segment_name,segment_description,segment_total_detractors,segment_detractors_with_comments,segment_comment_themes,entity_id,nps_score,nps_score_label,nps_comment,nps_source,nps_submitted_date,nps_submitted_fiscal_year,nps_submitted_fiscal_quarter,nps_campaign_name,account_type,company_name,bidding_status,copart_user,transaction_role,state,region_name,territory_name,bought_item_count,sold_item_count,bought_hammer_total,sold_hammer_total,items_bid_on,lifetime_bids,wins,win_rate_pct,avg_highest_bid,serious_bids,bidding_intensity_tier,win_rate_tier,avg_bid_value_tier,bid_recency,account_tenure_tier,customer_lifecycle_stage,engagement_level
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",169497,0,detractor,,posthog,2024-09-05 00:29:44,2025,1,Net promoter score (NPS),personal,Tim Skinner Trucking,Authorized,False,buyer_only,IA,Upper Midwest,Southwest IA,31,0,157862,0,879,3934,24,2.7,2191.76,84,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_last_30_days,veteran (5+ years),active,high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",53201,0,detractor,,iterable,2025-11-06 00:00:00,2026,2,,both,A C D C INVESTMENTS LLC,Authorized,False,buyer_and_seller,KS,Upper Midwest,Northeast KS,127,59,1123480,121150,336,2179,78,23.2,19112.5,206,power_bidder (1000+),moderate (10-25%),large ($15k-$50k),bid_last_30_days,veteran (5+ years),power_user,very_high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",218917,0,detractor,,iterable,2024-09-10 00:00:00,2025,1,,personal,William Goodson Jr,Integrity of Account,False,buyer_only,KS,Upper Midwest,Northeast KS,14,0,82100,0,269,1964,14,5.2,5119.11,64,power_bidder (1000+),low (< 10%),medium ($5k-$15k),bid_last_30_days,veteran (5+ years),active,high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",126124,0,detractor,Your salespeople are liars. They will sell other people's equipment that doesn't work but you won't sell mine.,iterable,2024-09-10 00:00:00,2025,1,,personal,,Authorized,False,buyer_only,KS,Upper Midwest,Central KS,4,0,36200,0,143,1309,3,2.1,7937.76,25,power_bidder (1000+),low (< 10%),medium ($5k-$15k),bid_last_30_days,veteran (5+ years),repeat,medium
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",288390,1,detractor,"Lack of seller accountability/ major discrepancies from item descriptions. If purple wave fails in basic item inspection, they don't stand behind it.",iterable,2025-09-08 00:00:00,2026,1,,personal,Westcliffe Outdoor,Authorized,False,buyer_only,CO,Upper Midwest,Southeast CO,15,0,72170,0,2283,7865,16,0.7,4092.34,104,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_last_30_days,mature (3-5 years),active,high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",29911,1,detractor,To difficult to s4ll with,posthog,2025-06-16 17:39:00,2025,4,Net promoter score (NPS),personal,"Brooks Directional Drilling, LLC",Authorized,False,buyer_and_seller,KS,Upper Midwest,South Central KS,310,26,1159542,187062,1338,5120,124,9.3,2562.23,270,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_last_30_days,veteran (5+ years),power_user,very_high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",172337,1,detractor,Banned from buying and never giving a reason.  And no one would ever call me back and give a reason,posthog,2024-09-29 22:41:03,2025,1,Net promoter score (NPS),personal,Dunn Trucking,Undefined,False,buyer_and_seller,MO,Upper Midwest,Central MO,53,77,191472,558565,826,3837,45,5.4,4065.79,192,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_over_year_ago,veteran (5+ years),power_user,very_high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",155865,2,detractor,Have a cap on your 10% buyers fee.,iterable,2025-09-24 00:00:00,2026,1,,business,Essary Plumbing Inc,Authorized,False,buyer_and_seller,KS,Upper Midwest,Northeast KS,67,30,328405,88932,696,3372,61,8.8,3882.55,140,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_last_30_days,veteran (5+ years),power_user,very_high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",186426,2,detractor,,iterable,2025-03-05 00:00:00,2025,3,,business,"Preferred Auto Sales, Inc.",Authorized,False,buyer_only,OK,Southern Plains,OKC West,69,0,464550,0,324,2414,69,21.3,5701.7,155,power_bidder (1000+),moderate (10-25%),medium ($5k-$15k),bid_last_30_days,veteran (5+ years),power_user,very_high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",50190,2,detractor,75% of the items I have purchased were 100% misrepresented and were junk !  If I had the time and energy I’d sue PW and all of their con artist consignors !,iterable,2024-09-10 00:00:00,2025,1,,personal,"S&W Power Systems, Inc.",Authorized,False,buyer_only,OK,Southern Plains,OKC East,38,0,216380,0,256,1858,38,14.8,3821.64,94,power_bidder (1000+),moderate (10-25%),small ($1k-$5k),bid_last_30_days,veteran (5+ years),active,high
